,Open,High,Low,Close,return,rv_gkyz,GPR_AI,EPU,GPR_AI_sc,EPU_sc
1996-01-03,620.72998046875,623.25,619.5599975585938,621.3200073242188,0.09500855934149383,0.1728228350269733,67.55,230.74,-0.8440793950786137,1.6420200852907172
1996-01-04,621.3200073242188,624.489990234375,613.9600219726562,617.7000122070312,-0.5843336443940845,1.3140341387053731,59.51,135.69,-1.1980832199998486,0.8585849757303713
1996-01-05,617.7000122070312,617.7000122070312,612.02001953125,616.7100219726562,-0.1603989629402813,0.4167581311181014,75.42,93.54,-0.5362223074435191,0.3096777203530129
1996-01-08,616.7100219726562,618.4600219726562,616.489990234375,618.4600219726562,0.28336198396853607,0.01987826215146211,63.94,36.13,-0.9975070824164417,-1.0940304681275212
1996-01-09,618.4600219726562,619.1500244140625,608.2100219726562,609.4500122070312,-1.4675621542775419,0.7570959854382004,70.74,136.18,-0.7151781641930419,0.863904101961516
1996-01-10,609.4500122070312,609.4500122070312,597.2899780273438,598.47998046875,-1.8163856202040511,0.7564767020571748,54.33,144.06,-1.4524819760996088,0.946911275618824
1996-01-11,598.47998046875,602.7100219726562,597.5399780273438,602.6900024414062,0.7009897470153215,0.18127110555164963,76.91,129.9,-0.4815717259707252,0.7942361399197267
1996-01-12,602.6900024414062,604.7999877929688,597.4600219726562,601.8099975585938,-0.1461195582211414,0.7372254996087332,67.96,203.44,-0.8271752213893176,1.4562091872164842
1996-01-15,601.8099975585938,603.4299926757812,598.469970703125,599.8200073242188,-0.3312154399493833,0.29823843605549616,72.51,125.19,-0.6461413330924529,0.7397379763603525
1996-01-16,599.8200073242188,608.4400024414062,599.0499877929688,608.4400024414062,1.426868603827035,0.4230422003720679,81.94,87.04,-0.30459910156888764,0.2034014238916327
1996-01-17,608.4400024414062,609.9299926757812,604.7000122070312,606.3699951171875,-0.34079556997860416,0.32594177385098266,69.18,92.24,-0.7774716892894289,0.28902598665551543
1996-01-18,606.3699951171875,608.27001953125,604.1199951171875,608.239990234375,0.3079172108312443,0.19771619252495623,90.71,108.25,-0.020554151947360724,0.5251984912464739
1996-01-19,608.239990234375,612.9199829101562,606.760009765625,611.8300170898438,0.5884969214859646,0.3763714629063242,76.61,80.22,-0.49248957175489366,0.08299818386568726
1996-01-22,611.8300170898438,613.4500122070312,610.9500122070312,613.4000244140625,0.25627974018654404,0.05800896738082577,81.36,67.55,-0.32444285146873014,-0.17066826626485102
1996-01-23,613.4000244140625,613.4000244140625,610.6500244140625,612.7899780273438,-0.09950275827351797,0.0971235572468889,73.68,188.14,-0.6014258859221122,1.3408380654385161
1996-01-24,612.7899780273438,619.9600219726562,612.7899780273438,619.9600219726562,1.1632731372278504,0.1538669699045256,86.84,94.4,-0.14235188058223544,0.3231824935165606
1996-01-25,619.9600219726562,620.1500244140625,616.6199951171875,617.030029296875,-0.47373027007868546,0.07624143555566197,88.51,122.1,-0.08914057169514375,0.7028589401061646
1996-01-26,617.030029296875,621.7000122070312,615.260009765625,621.6199951171875,0.7411273142910609,0.3299441467007084,69.21,65.84,-0.7762605428355415,-0.20850395675845443
1996-01-29,621.6199951171875,624.219970703125,621.4199829101562,624.219970703125,0.41738576892709184,0.03375852151812238,59.78,33.23,-1.1854375869028764,-1.217496420092179
1996-01-30,624.219970703125,630.2899780273438,624.219970703125,630.1500244140625,0.9455101624457065,0.12289526419786367,78.01,83.71,-0.44190077555001794,0.14583839693211717
1996-01-31,630.1500244140625,636.1799926757812,629.47998046875,636.02001953125,0.927211506836138,0.22836821487934247,78.22,174.63,-0.43439085688829904,1.2308792850351487
1996-02-01,636.02001953125,638.4600219726562,634.5399780273438,638.4600219726562,0.38290210016643106,0.13301599662611868,91.14,168.06,-0.007343140485325472,1.174291565798957
1996-02-02,638.4600219726562,639.260009765625,634.2899780273438,635.8400268554688,-0.411205949712484,0.2392749321535939,62.31,81.12,-1.0696444782368988,0.09946122242636163
1996-02-05,635.8400268554688,641.4299926757812,633.7100219726562,641.4299926757812,0.8753045831763827,0.43712553095306567,65.04,95.81,-0.9498572966882585,0.3450600470903652
1996-02-06,641.4299926757812,646.6699829101562,639.6799926757812,646.3300170898438,0.7610188273605749,0.36685049533660735,79.1,95.82,-0.4031384569159268,0.34521405447107734
1996-02-07,646.3300170898438,649.9299926757812,645.5900268554688,649.9299926757812,0.5554417808488898,0.10527113887371788,86.79,200.64,-0.14396076690910845,1.4357587470138062
1996-02-08,649.9299926757812,656.5399780273438,647.9299926757812,656.0700073242188,0.9402848218602659,0.5297865932829249,78.75,40.1,-0.4155265448544975,-0.9401927884008057
1996-02-09,656.0700073242188,661.0800170898438,653.6400146484375,656.3699951171875,0.04571451611274633,0.6396923166720673,57.02,115.22,-1.3174841807053124,0.6172772530670189
1996-02-12,656.3699951171875,662.9500122070312,656.3400268554688,661.4500122070312,0.7709766470100767,0.2724470961230787,67.36,40.42,-0.851947857146963,-0.928463989706836
1996-02-13,661.4500122070312,664.22998046875,657.9199829101562,660.510009765625,-0.1422134685178386,0.44773468798776456,103.92,152.44,0.35923395608422437,1.0303446931421303
